Rank,Category,Subtopic,Question_Type,Prompt,Question_ID,Style
Primary,Theology Proper,Existence of God,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the existence of God. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",P_TP_EOG_010,pastoral_v2
Tertiary,Angelology,Demonic Activity,pastoral,A Christian is using their strong view on demonic activity and the powers of darkness to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_A_DA_008,adversarial_precision_v2
Secondary,Anthropology (roles),Image of God,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why the image of God in humanity matters or why Christians fight about it.' How do you respond with clarity and compassion?",S_AR_IOG_007,pastoral_v2
Tertiary,Eschatology,Millennium Views,pastoral,"A longtime church member tells you privately that they are having serious doubts about millennial views (pre-, post-, and a-millennialism). They say it no longer seems important or even believable to them. How would you counsel them pastorally?",T_E_MV_007,pastoral_v2
Tertiary,Eschatology,Signs of the End Times,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the signs of the end times in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",T_E_SOT_006,pastoral_v2
Primary,Christology,Humanity of Christ,pastoral,A small group is studying the humanity of Christ. One member says it is too abstract to matter for daily discipleship. How should the group respond?,P_C_HOC_016,coherence_application_v2
Primary,Bibliology,Inspiration,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the inspiration of Scripture in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",P_B_I_010,pastoral_v2
Tertiary,Providence,Human Responsibility,pastoral,An atheist podcaster you are dialoguing with claims that human responsibility is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,T_P_HR_007,pastoral_v2
Primary,Bibliology,Authority,objective,"How does the authority of Scripture fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_B_A_008,objective_v2
Primary,Bibliology,Inspiration,objective,What are the central distinctions or nuances that must be maintained when teaching the inspiration of Scripture in order to remain faithful to historic orthodoxy?,P_B_I_005,objective_v2
Secondary,Ecclesiology,Nature & Marks of the Church,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the nature and marks of the true church. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",S_E_NMO_007,pastoral_v2
Primary,Theology Proper,Attributes of God,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why the attributes of God matters or why Christians fight about it.' How do you respond with clarity and compassion?",P_TP_AOG_013,pastoral_v2
Secondary,Eucharist,Nature of the Lord's Supper,pastoral,A longtime church member tells you privately that they are having serious doubts about the nature of the Lord's Supper. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,S_E_NOT_007,pastoral_v2
Primary,Theology Proper,Existence of God,pastoral,A longtime church member tells you privately that they are having serious doubts about the existence of God. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,P_TP_EOG_012,pastoral_v2
Secondary,Pneumatology (gifts),Continuation vs. Cessation,objective,What are the most important scriptural passages supporting the continuation or cessation of spiritual gifts? How should this doctrine shape the everyday life of a believer?,S_PG_CVC_001,objective_v2
Primary,Soteriology,Atonement,objective,"How should a clear understanding of the atonement inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_S_A_006,objective_v2
Primary,Prolegomena,Theological Method,pastoral,A parent in your congregation wants help explaining theological method to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,P_P_TM_009,pastoral_v2
Primary,Trinitarianism,Unity of Essence,pastoral,A small group is studying the unity of essence in the Trinity. One member says it is too abstract to matter for daily discipleship. How should the group respond?,P_T_UOE_015,coherence_application_v2
Primary,Soteriology,Atonement,objective,"Compare and contrast penal substitutionary atonement with 'Christus Victor' and moral influence theories. Which elements of each are compatible with historic evangelical orthodoxy, and which are not?",P_S_A_013,hand_curated_precision_v2
Primary,Bibliology,Inerrancy & Sufficiency,pastoral,An atheist podcaster you are dialoguing with claims that the inerrancy and sufficiency of Scripture is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,P_B_IS_010,pastoral_v2
Tertiary,Eschatology,Timing of Christ's Return,pastoral,A Christian is using their strong view on the timing of Christ's return to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_E_TOC_010,adversarial_precision_v2
Tertiary,Covenantology,Covenant Framework,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the covenant framework of Scripture in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",T_C_CF_008,pastoral_v2
Primary,Soteriology,Regeneration & Union with Christ,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices regeneration and union with Christ differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",P_S_RUW_011,pastoral_v2
Primary,Bibliology,Authority,pastoral,"A university student says, 'I believe the Bible is inspired in some sense, but I also think modern science and psychology sometimes correct it.' How do you respond regarding the authority of Scripture?",P_B_A_013,hand_curated_precision_v2
Primary,Hamartiology,Nature of Sin,objective,"How should a clear understanding of the nature of sin inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_H_NOS_003,objective_v2
Primary,Soteriology,Regeneration & Union with Christ,pastoral,A believer who struggles with assurance asks how regeneration and union with Christ relates to their personal standing before God and their daily walk with Christ. What would you tell them?,P_S_RUW_013,pastoral_v2
Secondary,Ecclesiology,Nature & Marks of the Church,pastoral,A new Christian has been reading popular books that treat the nature and marks of the true church as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,S_E_NMO_008,pastoral_v2
Secondary,Ecclesiology,Church Government & Polity,pastoral,Two mature Christians in your church hold different but orthodox views on church government and polity. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_E_CGP_013,adversarial_precision_v2
Primary,Prolegomena,Theological Method,objective,Why is theological method considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_P_TM_008,objective_v2
Tertiary,Angelology,Spiritual Warfare,pastoral,A new Christian has been reading popular books that treat spiritual warfare as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,T_A_SW_004,pastoral_v2
Tertiary,Covenantology,Old vs. New Covenant,objective,Describe the historic confessional understanding of the relationship between the old and new covenants as articulated in the major creeds and Reformation confessions. Include key supporting texts.,T_C_OVN_002,objective_v2
Secondary,Eucharist,Nature of the Lord's Supper,pastoral,"In what ways does the nature of the Lord's Supper connect to the life, death, and resurrection of Jesus Christ?",S_E_NOT_012,coherence_application_v2
Primary,Soteriology,Atonement,pastoral,"A survivor of abuse asks, 'If God the Father poured out his wrath on Jesus, doesn't that make God abusive?' How do you answer with both theological precision and pastoral sensitivity?",P_S_A_013,hand_curated_precision_v2
Secondary,Pneumatology (gifts),Baptism & Filling of the Spirit,objective,What is the core teaching of historic Christianity regarding baptism and filling with the Holy Spirit? Provide examples from Scripture and major confessional documents.,S_PG_BFO_005,objective_v2
Primary,Hamartiology,Origin of Sin,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the origin of sin in light of their pain. How do you respond?",P_H_OOS_012,pastoral_v2
Secondary,Ecclesiology,Discipline & Unity,objective,What are the central distinctions or nuances that must be maintained when teaching church discipline and the unity of the church in order to remain faithful to historic orthodoxy?,S_E_DU_004,objective_v2
Primary,Theology Proper,Decrees of God,pastoral,A new Christian has been reading popular books that treat the decrees of God as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,P_TP_DOG_012,pastoral_v2
Primary,Trinitarianism,Distinction of Persons,objective,Why is the distinction of persons in the Trinity considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_T_DOP_004,objective_v2
Secondary,Baptism,Subjects of Baptism,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices the proper subjects (recipients) of baptism differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",S_B_SOB_007,pastoral_v2
Primary,Christology,Humanity of Christ,pastoral,A parent in your congregation wants help explaining the humanity of Christ to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,P_C_HOC_007,pastoral_v2
Tertiary,Providence,God's Sovereignty,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain God's sovereignty in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",T_P_GS_004,pastoral_v2
Primary,Bibliology,Inerrancy & Sufficiency,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices the inerrancy and sufficiency of Scripture differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",P_B_IS_012,pastoral_v2
Primary,Bibliology,Authority,pastoral,A longtime church member tells you privately that they are having serious doubts about the authority of Scripture. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,P_B_A_012,pastoral_v2
Tertiary,Angelology,Spiritual Warfare,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about spiritual warfare in light of their pain. How do you respond?",T_A_SW_007,pastoral_v2
Secondary,Ecclesiology,Church Government & Polity,objective,In what ways can a misunderstanding of church government and polity lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,S_E_CGP_005,objective_v2
Secondary,Ecclesiology,Church Government & Polity,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of church government and polity. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",S_E_CGP_011,pastoral_v2
Tertiary,Angelology,Nature & Hierarchy of Angels,pastoral,A Christian is using their strong view on the nature and hierarchy of angels to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_A_NHO_009,adversarial_precision_v2
Primary,Prolegomena,Theological Method,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on theological method don't really matter 'as long as we love each other.' How should you address this situation?,P_P_TM_013,pastoral_v2
Primary,Christology,Humanity of Christ,objective,What are the most important scriptural passages supporting the humanity of Christ? How should this doctrine shape the everyday life of a believer?,P_C_HOC_003,objective_v2
Tertiary,Israelology,Covenant Promises,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the covenant promises to Israel. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",T_I_CP_005,pastoral_v2
Primary,Hamartiology,Effects & Guilt of Sin,objective,"In a discussion, a participant says that historic formulations of the effects and guilt of sin are culturally conditioned and should be revised for modern sensibilities. What is at stake if we do that?",P_H_EGO_014,adversarial_precision_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices complementarian and egalitarian views on gender roles differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",S_AR_CVE_007,pastoral_v2
Secondary,Eucharist,Frequency & Practice,pastoral,A longtime church member tells you privately that they are having serious doubts about the frequency and practice of the Lord's Supper. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,S_E_FP_007,pastoral_v2
Primary,Hamartiology,Nature of Sin,pastoral,"In a Bible study, someone asks how the nature of sin should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_H_NOS_013,pastoral_v2
Primary,Bibliology,Inspiration,objective,Why is the inspiration of Scripture considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_B_I_003,objective_v2
Secondary,Ecclesiology,Discipline & Unity,pastoral,How would a misunderstanding of church discipline and the unity of the church affect a believer's assurance or approach to suffering?,S_E_DU_012,coherence_application_v2
Primary,Christology,Deity of Christ,pastoral,A believer who struggles with assurance asks how the deity of Christ relates to their personal standing before God and their daily walk with Christ. What would you tell them?,P_C_DOC_014,pastoral_v2
Secondary,Baptism,Mode of Baptism,pastoral,An atheist podcaster you are dialoguing with claims that the proper mode of baptism is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,S_B_MOB_009,pastoral_v2
Secondary,Eucharist,Frequency & Practice,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the frequency and practice of the Lord's Supper in light of their pain. How do you respond?",S_E_FP_012,pastoral_v2
Primary,Soteriology,Justification by Faith,objective,"How does justification by faith alone fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_S_JBF_005,objective_v2
Primary,Bibliology,Authority,objective,"How should a clear understanding of the authority of Scripture inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_B_A_005,objective_v2
Primary,Prolegomena,Nature of Theology,objective,What are the most common contemporary misconceptions or distortions of the nature of theology? How would you correct each one from Scripture and historic Christian teaching?,P_P_NOT_004,objective_v2
Primary,Soteriology,Regeneration & Union with Christ,pastoral,"In what ways does regeneration and union with Christ connect to the life, death, and resurrection of Jesus Christ?",P_S_RUW_016,coherence_application_v2
Tertiary,Creation,Days of Creation,objective,What are the most common contemporary misconceptions or distortions of the days of creation (length and nature)? How would you correct each one from Scripture and historic Christian teaching?,T_C_DOC_002,objective_v2
Primary,Christology,Deity of Christ,objective,Why is the deity of Christ considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_C_DOC_004,objective_v2
Primary,Soteriology,Justification by Faith,pastoral,"In a Bible study, someone asks how justification by faith alone should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_S_JBF_009,pastoral_v2
Primary,Bibliology,Inspiration,pastoral,"In a Bible study, someone asks how the inspiration of Scripture should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_B_I_008,pastoral_v2
Tertiary,Creation,Days of Creation,objective,In what ways can a misunderstanding of the days of creation (length and nature) lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,T_C_DOC_001,objective_v2
Primary,Soteriology,Atonement,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the atonement in light of their pain. How do you respond?",P_S_A_012,pastoral_v2
Primary,Soteriology,Justification by Faith,pastoral,A longtime church member tells you privately that they are having serious doubts about justification by faith alone. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,P_S_JBF_013,pastoral_v2
Tertiary,Covenantology,Covenant vs. Dispensationalism,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why covenant theology versus dispensationalism matters or why Christians fight about it.' How do you respond with clarity and compassion?",T_C_CVD_008,pastoral_v2
Tertiary,Ethics,Sanctification in Daily Life,pastoral,A longtime church member tells you privately that they are having serious doubts about sanctification in everyday Christian life. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,T_E_SID_004,pastoral_v2
Primary,Christology,Hypostatic Union,objective,What is the core teaching of historic Christianity regarding the hypostatic union of Christ? Provide examples from Scripture and major confessional documents.,P_C_HU_004,objective_v2
Primary,Bibliology,Inerrancy & Sufficiency,objective,"How does the inerrancy and sufficiency of Scripture fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_B_IS_008,objective_v2
