Rank,Category,Subtopic,Question_Type,Prompt,Question_ID,Style
Tertiary,Creation,Days of Creation,objective,What is the core teaching of historic Christianity regarding the days of creation (length and nature)? Provide examples from Scripture and major confessional documents.,T_C_DOC_003,objective_v2
Tertiary,Covenantology,Covenant Framework,pastoral,A believer who struggles with assurance asks how the covenant framework of Scripture relates to their personal standing before God and their daily walk with Christ. What would you tell them?,T_C_CF_007,pastoral_v2
Primary,Christology,Humanity of Christ,objective,"How should a clear understanding of the humanity of Christ inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_C_HOC_002,objective_v2
Primary,Theology Proper,Existence of God,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the existence of God don't really matter 'as long as we love each other.' How should you address this situation?,P_TP_EOG_009,pastoral_v2
Primary,Bibliology,Inspiration,pastoral,A small group is studying the inspiration of Scripture. One member says it is too abstract to matter for daily discipleship. How should the group respond?,P_B_I_016,coherence_application_v2
Tertiary,Creation,Days of Creation,pastoral,A longtime church member tells you privately that they are having serious doubts about the days of creation (length and nature). They say it no longer seems important or even believable to them. How would you counsel them pastorally?,T_C_DOC_005,pastoral_v2
Tertiary,Creation,Ex Nihilo Creation,pastoral,A new Christian has been reading popular books that treat creation ex nihilo as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,T_C_ENC_008,pastoral_v2
Secondary,Baptism,Subjects of Baptism,pastoral,"In what ways does the proper subjects (recipients) of baptism connect to the life, death, and resurrection of Jesus Christ?",S_B_SOB_012,coherence_application_v2
Tertiary,Angelology,Nature & Hierarchy of Angels,pastoral,A new Christian has been reading popular books that treat the nature and hierarchy of angels as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,T_A_NHO_006,pastoral_v2
Primary,Soteriology,Regeneration & Union with Christ,objective,Describe the historic confessional understanding of regeneration and union with Christ as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_S_RUW_002,objective_v2
Tertiary,Israelology,Role of Israel,pastoral,"In a Bible study, someone asks how the role of Israel in God's purposes should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",T_I_ROI_007,pastoral_v2
Primary,Prolegomena,Nature of Theology,objective,What are the central distinctions or nuances that must be maintained when teaching the nature of theology in order to remain faithful to historic orthodoxy?,P_P_NOT_007,objective_v2
Secondary,Pneumatology (gifts),Baptism & Filling of the Spirit,objective,"How should a clear understanding of baptism and filling with the Holy Spirit inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",S_PG_BFO_004,objective_v2
Tertiary,Covenantology,Covenant vs. Dispensationalism,objective,"How does covenant theology versus dispensationalism fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",T_C_CVD_003,objective_v2
Secondary,Anthropology (roles),Gender & Sexuality,pastoral,A new Christian has been reading popular books that treat gender and human sexuality as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,S_AR_GS_004,pastoral_v2
Primary,Trinitarianism,Distinction of Persons,objective,"How does the distinction of persons in the Trinity fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_T_DOP_001,objective_v2
Primary,Soteriology,Atonement,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the atonement in light of their pain. How do you respond?",P_S_A_012,pastoral_v2
Secondary,Pneumatology (gifts),Continuation vs. Cessation,pastoral,"In a Bible study, someone asks how the continuation or cessation of spiritual gifts should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",S_PG_CVC_010,pastoral_v2
Primary,Trinitarianism,Eternal Relations,objective,In what ways can a misunderstanding of the eternal relations within the Trinity lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,P_T_ER_006,objective_v2
Tertiary,Covenantology,Covenant vs. Dispensationalism,objective,In what ways can a misunderstanding of covenant theology versus dispensationalism lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,T_C_CVD_002,objective_v2
